Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
Lalitya Munshaw - Baat Dil Ki Dil Se.mp3,1.3673279,0.35778698,0.35378575,0.2109107178,7.3689165,1.5626087,2468.179053,3252.382614,22.96624386,5635.63203,0.02719675096,0.04270545954
Lalitya Munshaw - Kuch Aise Meri.mp3,1.3284837,0.3641081,0.46790394,0.2365361055,0.7071318,-5.1933017,3180.866983,3528.217652,21.38839211,7279.057752,0.01460547969,0.05985421338
Mehdi Hassan - Main Khayal Hun.mp3,1.3592623,0.3851542,0.44866368,0.2429907083,8.706282,0.6377728,1553.289328,1957.378046,20.90585779,3013.715213,-0.02446254725,0.03330064458
Pankaj Udhas - Aap Jinke Kareeb Hote Hain.mp3,1.3989751,0.3451607,0.38793042,0.2294631246,2.814652,-2.7887287,2145.546977,2429.613019,21.69298312,4355.300954,0.03650194079,0.05231022524
Pankaj Udhas - Aap Ka Aitbaar.mp3,1.3801234,0.4190365,0.38098252,0.222577578,6.5615954,0.0301942,1418.047604,2021.284876,21.59549066,2757.845663,0.02560408435,0.02617011657
Pankaj Udhas - Ahista.mp3,1.2183115,0.36002353,0.3655034,0.2167933832,0.60820675,-6.467659,1183.284706,1583.497448,20.6992838,2324.222427,0.01895564252,0.0255279857
Pankaj Udhas - Chandi Jaisa Rang - Live In India-1984.mp3,1.4207939,0.368346,0.47862828,0.2530715493,2.9613523,-4.544847,2389.516228,2578.685248,21.33383737,4654.551558,-0.009477930829,0.05872396524
Pankaj Udhas - Chandi Jaisa Rang - Live.mp3,1.3377861,0.35562557,0.47489747,0.249128876,3.15174,-5.8040743,1399.935063,1574.823857,21.45382009,2404.922322,0.007878690126,0.03626451769
Pankaj Udhas - Chithhi Aayi Hai.mp3,1.4507804,0.35030752,0.47523478,0.2527329715,3.4157436,-2.4185095,2482.249473,2593.713851,21.01972535,4991.360301,0.02174616786,0.0584367567
Pankaj Udhas - Deewaron Se Milkar Rona.mp3,1.4150105,0.39200723,0.41086537,0.23234776,0.7797592,-4.051033,2538.736569,2376.727271,21.81873077,5166.519183,0.004939222531,0.06913728718
Pankaj Udhas - Dil Gaya Tumne Liya.mp3,1.3582193,0.4074517,0.34048116,0.2120839764,7.2378497,-1.0643653,1314.700899,1943.000021,21.79764102,2511.539021,-0.03835358283,0.02324841843
Pankaj Udhas - Ghazab Kiya.mp3,1.2994249,0.40143624,0.35525006,0.2149717705,6.049232,0.34093755,1269.352647,1870.863768,21.34127508,2397.372159,-0.05545820145,0.02388690443
Pankaj Udhas - Ghungroo Toot Gaye - Introduction - Ghungroo Toot Gaye - Live.mp3,1.311712,0.35889786,0.44181448,0.2415560965,1.8787637,-7.6790004,1452.946308,1633.04906,20.94521505,2516.952996,-0.007932893494,0.03645536405
Pankaj Udhas - Introduction - Chandi Jaisa Rang - Live.mp3,1.4633231,0.37481046,0.44611046,0.2480515293,2.9007447,-4.263222,3070.286495,3364.873675,22.03202394,6405.624106,-0.009498300198,0.07905928814
Pankaj Udhas - Jeeye to Jeeye Kaise (From Saajan).mp3,1.4004769,0.36037415,0.41930163,0.2313232619,10.799092,1.370046,3461.350221,3472.712987,21.71416125,7187.357532,0.0248203392,0.07504598537
Pankaj Udhas - Na Kajare Ki Dhar (From Mohra).mp3,1.4415716,0.33069688,0.43545756,0.2473654119,5.777254,-2.804297,2816.70321,2725.538019,21.75788375,5561.131182,0.01798254406,0.07467446969
Pankaj Udhas - Sabko Maloom Hai Main Sharabi Nahin.mp3,1.488436,0.35349715,0.46144906,0.2446347429,3.3405967,-4.358152,2462.530369,2363.919259,22.13806734,5163.726818,0.0118688226,0.06533968136
Pankaj Udhas - Sheeshon Ka Maseeha.mp3,0.9482344,0.42304504,0.31333375,0.2059940339,7.1478677,-0.198528,805.3925427,936.454646,20.48648638,1670.867449,-0.03173883728,0.01897494821
Pankaj Udhas - Suraj Ki Har Kiran Pe - Live.mp3,1.2483336,0.36359775,0.39134508,0.2302049039,2.0160506,-7.43015,1315.284933,1484.266097,20.80284033,2284.576814,-0.009911174886,0.03348417997
Pankaj Udhas - Tere Gham Ko.mp3,1.2528822,0.40282595,0.34736514,0.2107910343,9.9799385,1.983539,1215.029207,1744.577047,21.56089073,2420.920585,0.003011501556,0.02290943001
Pankaj Udhas - Udke Shakhon Se Gulab.mp3,1.4635432,0.37485152,0.38871017,0.2335027948,0.8394528,-4.437302,2748.490643,2957.063443,20.84998675,5672.157765,0.03073401244,0.06501380492
Pankaj Udhas - Yun Sajaa Chand.mp3,1.3964071,0.29207575,0.3347005,0.2203024822,3.0114625,-5.8491845,1832.307363,2106.60959,22.01968996,3479.584212,-0.01092446943,0.04140851068
Talat Aziz - Aaj Jaane Ki Zid.mp3,1.4048733,0.41097385,0.4501393,0.2417907553,2.356053,-2.6745179,1643.180187,2393.545112,20.22516261,3128.60285,0.004588884215,0.02777296485
Talat Aziz - Aap Ko Mubarak Ho.mp3,1.2822005,0.36186886,0.41810295,0.2346926533,3.3152275,-3.5863917,1604.981643,2017.645692,21.18571993,3131.087657,-0.0474259548,0.03345880133
Talat Aziz - Ab Yahan Koi Nahin Aayega.mp3,1.3122721,0.347724,0.3870797,0.22580088,1.781125,-3.912888,1869.037861,2071.544316,22.41896592,3455.330901,-0.01271260432,0.04816112675
Talat Aziz - Ae jane Wafaa.mp3,1.4062248,0.39488262,0.40911996,0.2314524516,1.034401,-3.775485,2654.977505,2843.050128,21.07040323,5447.172986,-0.010575211,0.05796606757
