,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
26,bhojpuri/Aditya - Suna Suna Sanam.opus,1.360024720166046,0.3617786915968893,0.45901697121407625,0.2431229285104786,6.60974131151607,0.5079042969827922,2318.118005226825,2008.6623310828443,21.232503427231908,4292.807004059836,0.008146764632330843,0.06642528377265759
27,bhojpuri/S K Singh - Maugi Ke Bada Nakhra.opus,1.484234769087829,0.3767189614433133,0.5603640152669744,0.26093550540028915,19.548491303321228,5.348186055920776,3548.4409422332883,3814.1832483131025,17.67913426147838,7521.54207217294,0.010111053057104299,0.07283218852946559
28,bhojpuri/Ajay Nishad - Bhatar Bina Kuchh Na.opus,1.5729900701167634,0.33664725560463066,0.5458033004196653,0.26311437864346354,18.410305285974466,0.7010194749506825,3655.281103013385,3839.410662581515,19.547789584720007,7889.974329028418,-0.005373211482333487,0.07770902956610073
29,bhojpuri/Raju Bedradi - Kahan Bitawal Na.opus,1.5139892834255702,0.35811252413858896,0.6352530665290542,0.27790242844930296,26.47326225573426,6.354441859809966,3435.6002781595776,3644.0292417830437,18.303354819073657,7161.0907853440485,0.002059845218989218,0.07487530240976746
30,bhojpuri/Ritesh Pandey - Pandeyji Ka Beta Hoon With Dialogues.opus,1.5733956941556904,0.4190877384706927,0.5394246186045455,0.26113270571701674,7.272370008855256,2.1876402641607453,3594.9066069177616,4268.797380484462,20.58289443323078,7964.972742834231,-0.011801421779712924,0.06353832806010198
31,bhojpuri/Khesari Lal Yadav - Bhatijwa Ke Mausi Jindabad.opus,1.5844567890397507,0.40066542906386965,0.6191594769823199,0.2730511119101581,30.223057047499022,5.9749165214724655,3279.1203787695126,3706.58480192639,18.386826934820935,7193.382464192052,0.007346742576566453,0.061285926152410734
32,bhojpuri/Pawan Singh - Luliya Ka Mangele.opus,1.4421778069753888,0.44311203262265464,0.5289578181534921,0.2625827337615944,23.22659711619437,6.866009347382571,2737.547743626223,3332.8454556076454,19.213055567337076,6048.1964190077415,-0.009274149657249167,0.04622700924917231
33,bhojpuri/Mantu Singh - Mar Karaibu Ka.opus,1.803008789057423,0.4513477820439659,0.6140506024748211,0.27508923327238116,7.9232962161041,1.5209188477567044,4197.217551034674,4357.336685554084,20.218043775426388,8947.26857142857,0.004154727154659582,0.07782604910714286
34,bhojpuri/Rajan Kashyap - Chhinar Gaili.opus,1.4086170861232847,0.3473323586885095,0.5596065715452484,0.27021526820019226,9.84603726803914,3.1070476498521775,2877.9489010754123,3417.589337852293,21.32248952093289,6131.199008008189,0.005683288569854719,0.056352501430033716
35,bhojpuri/Ritesh Pandey - Piyawa Se Pahile 2.opus,1.5106418273329996,0.3840157928014433,0.5095764903852527,0.25497368882973265,28.554148003126656,5.1548767727335045,2841.8606826931987,3281.485099677954,19.317672160840697,6093.532634557751,-0.008831873603000725,0.05306594035391017
36,bhojpuri/Pawan Singh - Raate Diya Buta Ke Piya Kya Kya Kiya.opus,1.448272021945069,0.39079259387873955,0.549892984155968,0.25711437196095366,18.939803376722654,4.186669049721862,2652.899504121176,3153.198792009347,19.04534157645422,5715.695653857149,0.0026244776209873766,0.051041432456699384
